FAMID ID ILMN_1662174 ILMN_1670576 ILMN_3245973 ILMN_1668277 ILMN_1666206 ILMN_1724762 ILMN_1707448 ILMN_2300695 ILMN_2200917 ILMN_1699599 ILMN_1797428 ILMN_1771862 ILMN_1690907 ILMN_1715680 ILMN_1687213 ILMN_1691693 ILMN_3248511
2036 2036 -0.22033989 -1.246778517 -0.809022935 -0.16080238 -0.1866076974 -0.005032587 -0.13185641 -0.63214773 -0.028089733 -0.161022717 -0.3272885948 -0.0906621735 -0.115502973 -0.057805515 1.31143719 -0.1943807638 1.22802636
2040 2040 0.735715708 0.249938814 -0.183981678 -0.392678749 0.7574846798 -0.171316892 0.264685293 0.278104458 -0.289794156 -0.023910228 -0.0006231311 0.179118035 -0.013481438 0.241845652 1.98178886 -0.1493907752 1.54393929
2042 2042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2044 2044 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2045 2045 0.733896318 1.249930749 -0.04958866 0.234270606 0.1540347493 -0.336725914 -0.080068619 -0.546113071 0.209143222 -0.78004617 -0.8319648703 0.1998216375 -0.845826668 -0.146671542 0.65639879 -0.6759239849 0.48807323
2047 2047 -0.050385938 0.575244796 0.208254512 -0.042329486 0.2111486192 0.276464394 -0.113469688 -0.237373383 -0.141684799 0.253969734 0.1938641156 -0.2546543779 0.064131599 -0.200578013 0.61249245 0.0677044807 0.55178326
2052 2052 0.144359477 -0.479365361 0.027724168 -0.168680385 0.2993732468 -0.041440883 -0.104305911 0.006403122 -0.358628569 -0.080032876 -0.1120034199 0.2285832869 0.008419321 0.115377571 0.88366149 -0.1471196763 0.78372447
2054 2054 -0.163277254 0.462732285 0.234296878 0.104903148 -0.1319602329 0.1162065 -0.045075284 -0.142997581 -0.021844612 -0.402184567 -0.0855613401 -0.0882940304 0.310063068 0.129195864 -0.07847119 -0.3379242404 -0.05931465
2062 2062 0.013081611 -0.727344905 -0.202917269 0.205271697 0.1823457842 0.192544683 0.127419643 -0.093055122 -0.201849394 0.367862424 0.1597143622 0.0497714289 0.029077253 -0.129260532 -1.78867011 0.0334561438 -1.57138874
2067 2067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2072 2072 0.157048323 1.030361192 0.031427029 0.182056737 0.2768836721 0.121632183 -0.010284263 -0.478463204 0.111706035 -0.007757368 -0.2347367402 -0.1004677568 -0.062499226 0.124039766 0.827857 0.274687149 0.54926042
2075 2075 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2078 2078 -0.414104461 0.803611546 0.033908531 -0.012425822 -0.1705484796 0.01246065 0.215615788 -0.249360419 0.135552839 -0.185673207 -0.1064311298 -0.2022106285 -0.167572404 0.325083406 -0.30637212 -0.2335459961 -0.3872819
2086 2086 -0.38779382 -1.224042039 0.084127478 0.354861767 0.4225441357 0.356479626 -0.15987374 0.190827577 0.334692733 -0.592670822 -0.4574276462 -0.2225283337 -0.164624684 -0.43683173 -1.8955257 -0.4194949632 -1.66398407
2087 2087 -0.344423959 -0.92402195 0.122772736 -0.045936331 -0.5398467088 -0.264215128 0.05334219 0.304516445 0.126891184 0.512313426 0.2648659511 0.2629706615 -0.133898745 0.308101119 0.7483865 0.2221624122 0.76815986
2090 2090 0.517177611 -0.564798777 -0.548577893 -0.118648125 0.2959477357 -0.294376006 -0.336827498 -0.266079925 0.250885284 -0.00444853 -0.0297096353 -0.3345669574 -0.506376611 -0.081222956 0.61916921 -0.2173224969 0.66227055
2133 2133 0.389721122 -1.384465476 0.202670751 -0.153333651 0.168082767 -0.448289169 -0.393850004 0.254075734 -0.131882475 0.435604044 0.7931761465 0.0501095889 0.502125361 -0.194709846 0.65152451 0.2591684239 0.84475809
2140 2140 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2144 2144 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2145 2145 -0.031898849 -1.094563335 0.021208594 -0.115655977 -0.0029695297 0.003776614 0.125242004 -0.066546414 0.121106803 0.204282819 0.328029325 -0.0718645526 0.359040261 -0.375457522 -0.94745319 -0.0775515344 -1.01423513
2148 2148 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2166 2166 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2197 2197 -0.108365997 0.766709091 -0.194516328 -0.319568608 0.0338747279 0.324447352 -0.6973718 -0.18680788 -0.329856224 0.639163883 0.5993118108 -0.4115849026 -0.04715287 0.107263134 1.83285978 0.3549142581 1.65887356
2203 2203 0.146116719 1.128420305 -0.007615151 0.156492812 -0.1965898921 0.273653218 -0.246192879 -0.008498742 0.253463143 0.310526794 0.6286061644 -0.0565771084 0.054347917 0.166957493 -0.47468358 0.316783298 -0.34622344
2222 2222 0.38222617 0.634056374 0.258200639 0.285980044 0.5102294363 0.146173601 -0.092360529 0.072256231 -0.128881894 -0.041032713 0.0537714675 -0.1225742462 -0.050845027 -0.275865207 -0.77069844 0.2657871595 -1.00950715
2231 2231 -0.11576394 -0.903421187 -0.222028764 -0.031769598 0.1704450025 0.261343227 -0.184459483 -0.708912977 -0.021965498 0.088835915 0.4787913812 0.2895402529 0.181404507 -0.094433884 -0.83583034 0.2247748011 -0.76704387
2233 2233 0.01801725 -0.774296608 0.253803591 0.077419701 0.3640960312 -0.265476867 0.335740217 -0.116145285 -0.074810678 -0.451965491 -0.3998108038 0.0610580757 0.086916508 -0.082129559 0.74057464 -0.4096632499 0.63578446
2257 2257 0.085361565 0.709674354 0.101705839 -0.002708787 0.3300544215 0.790295617 0.238922433 -0.246088752 0.489458847 0.354390176 0.3557133188 0.0082458974 0.44931558 0.408787215 -1.18241362 0.262050961 -1.05397748
2261 2261 0.49285324 -1.608593487 -0.192762819 0.044618137 0.186711431 0.023194121 -0.297784708 -0.80486129 -0.031369491 0.486623901 0.253430629 -0.3712473967 0.277565866 0.295457363 -0.48050745 0.0818126489 -0.53972964
2264 2264 0.073665601 0.593492034 -0.070729101 0.142073318 -0.0538848834 -0.184859175 -0.063770801 0.235858724 -0.731556522 -1.00576277 -0.9518291291 0.0183718337 -0.106144048 -0.195612626 -0.45671614 -0.6147064922 -0.43987727
2265 2265 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2281 2281 0.582862807 -0.919556775 0.314202082 -0.137975501 0.0439967598 -0.206656773 0.33864198 -0.016294492 -0.408451572 0.222917433 -0.1331984222 -0.1415594249 0.106827062 0.332294128 1.64632404 0.0261340261 1.44630543
2305 2305 -0.169820646 0.704147783 -0.47666652 0.08621427 -0.9699950515 -0.089614675 -0.162477936 -1.370370254 -0.048687137 0.005409987 0.2902617162 0.0728479664 0.004539084 -0.030643096 -0.80424384 0.1078243125 -0.65707749
2311 2311 0.172229058 0.468721908 -0.074794334 -0.133028931 0.1026719093 -0.054601003 -0.032202702 -0.400097351 -0.305204635 -0.521562387 -0.5217752297 -0.2440085443 0.40522292 0.063442726 -1.17117254 -0.0494169654 -1.29321537
2322 2322 -0.212089546 0.199273496 0.262171877 -0.008672674 0.0560528581 -0.127596876 0.239290102 1.022223418 -0.067946361 0.145382079 0.1465605645 0.0388974895 0.089417505 0.091806708 -0.3149081 -0.1391518698 -0.34263817
2330 2330 0.446065414 -0.742753731 -0.164557017 -0.089452767 0.1816291599 -0.182088491 -0.383793036 -1.136089647 0.110119601 -1.191205346 -0.9876002842 0.2829269893 -0.237048535 0.245025528 1.24364319 -0.4859690465 1.33444375
2345 2345 0.305384951 0.529078543 -0.092864123 -0.204032074 0.682860423 -0.1603673 -0.035293708 0.427714631 -0.237901092 -0.08397469 0.1705617998 -0.2258288552 0.085663476 0.154432086 1.70124007 0.1770793976 1.42759231
2348 2348 0.350435662 -0.439027958 0.705152234 0.16860777 0.2676217683 0.426549614 -0.074762034 -0.090681432 0.068055869 -0.103006455 -0.2483533896 -0.0937452481 0.206777665 0.038827116 -0.24737371 -0.2936738613 0.03233055
2367 2367 0.163447169 -0.589210898 -0.087361346 0.149301865 0.2739672589 0.240651735 0.529551509 0.918232554 -0.145695114 -0.150638187 -0.5614289606 -0.0457059513 -0.321573174 -0.005904279 0.22775579 -0.1378694862 0.14682306
2368 2368 -0.601347288 -0.622298221 -0.050915042 -0.366797885 -0.5503319742 -0.200572402 0.253216078 0.428951322 -0.058089484 0.370362386 0.15225911 0.0526486241 -0.010768033 0.316343174 2.29808017 0.4466845607 2.28360667
2379 2379 0.165479593 0.752199751 -0.272580868 -0.048060307 -0.2060439975 -0.525415135 0.638008931 -0.097304931 0.04148935 0.230703624 -0.1207568993 0.402032994 -0.436168378 0.100425149 1.08121701 0.0342771663 1.00404172
