FAMID ID ILMN_1786759 ILMN_1662174 ILMN_1797861 ILMN_1666206 ILMN_1849013 ILMN_1797428 ILMN_2374770 ILMN_2341724 ILMN_1798947 ILMN_1682727 ILMN_1691693
1051 1051 -0.3277837352 0.281768241 0.1935074355 0.2546723862 0.28210516 0.2451236 -0.055802364 0.7074954403 1.018537241 0.072890964 -0.053770263
1054 1054 0.0903302195 0.036856058 0.0349841103 0.1771337829 -0.083557084 -0.3727318 0.148726239 -0.1278948036 -0.3581398441 -0.1926659698 -0.063314775
1058 1058 0.1607826941 -0.053396427 0.1984941706 -0.1747831487 0.252742106 0.3835752 0.066758673 0.9177213371 0.9516994878 -0.0768107602 0.869286504
1067 1067 0.0141891462 0.009055486 0.0944199466 -0.1007305097 0.091056357 -0.3748248 -0.04306218 0.1545887567 0.2255349305 0.5893040318 -0.030427239
1070 1070 0.1855555034 0.186250493 0.0007490161 -0.0280982857 0.187006708 -0.1768319 0.149251049 -0.0744004362 -0.2025816494 -0.0351103156 -0.205485253
1072 1072 -0.0182924476 -0.366362289 0.2957749234 -0.4575451188 0.197325087 -0.06632873 0.018397133 -0.0546704147 0.0145628371 0.1484772403 0.0092214
1076 1076 0.0685386795 0.463156769 0.2210516714 -0.2058295952 -0.012610609 0.08754584 0.17658224 -0.3809284438 -0.3886536235 -0.1787215583 0.235357374
1080 1080 -0.105149257 -0.813307132 0.1762308933 -0.2281731501 -0.31200399 -0.2134459 -0.148764014 0.5136689296 0.4621341814 -0.1721977171 -0.283556581
1083 1083 -0.1961420656 -0.208969884 0.4449083226 0.3875050383 0.177972631 -0.02911179 -0.041204827 0.425541155 0.5474525389 -0.1430091509 0.165380902
1085 1085 -0.324791315 0.040322355 -0.7928741216 0.3529742728 -0.416848809 -0.7250803 0.179854115 -0.6427206942 -0.8092364259 0.1485191588 -0.943224763
1087 1087 0.0349886346 0.323415467 0.1176473338 0.5396159942 -0.150971297 -0.2125728 -0.014129251 -0.7819592903 -0.545059117 -0.0105965014 -0.677524949
1088 1088 0.2110741269 -0.36324884 0.5492708213 -0.0873284103 0.143227219 1.333647 0.05422103 0.4501508214 0.4506150259 -0.2748048391 1.366923731
1094 1094 -0.000719074 -0.185671037 -0.0431508128 0.2386176802 -0.521954899 0.2938738 0.015709317 -1.0013986987 -0.7264850586 0.1088448624 -0.015760532
2010 2010 0.1015286155 0.339937996 0.6745716747 -0.2228830621 0.230222987 0.3227355 -0.041329548 -0.1126215776 0.0396241962 0.2614215692 0.007005803
2012 2012 0.0528914443 -0.982496172 -0.2437004166 -0.6397463623 -0.267677621 -0.8240204 0.161217616 -1.1256189393 -1.1847201854 -0.2785064174 -0.767084721
2029 2029 -0.0472782643 -0.34039157 -0.4347194512 -0.225622141 0.084704931 0.2369032 -0.117029796 0.9002566703 0.9202447866 -0.1959192362 0.425407314
2030 2030 0.0494073007 0.476398266 -0.039595277 0.5896187781 -0.09119118 -0.4755576 -0.036482098 0.7452684333 0.5430160999 0.1916842362 -0.126691001
2034 2034 0.0619005116 -0.425488721 0.1686464438 0.1666725534 0.424993637 0.4378706 -0.01914941 0.9791426118 0.8997461302 0.2330564156 0.340648581
2036 2036 NA NA NA NA NA NA NA NA NA NA NA
2040 2040 -0.0416678631 0.349793544 -0.1517666929 -0.1417044486 0.039812463 0.1023306 -0.167676066 -0.0002998415 0.0760810298 -0.0184806854 0.642249281
2042 2042 0.0082688418 -0.121598904 -0.0701885777 -0.2782617798 0.037215424 -0.3672436 0.083335489 -0.1166392191 -0.3969853513 -0.1423399583 -0.285240048
2044 2044 -0.0304192508 0.085289591 -0.3044877864 0.221317222 0.089191232 -0.6083446 -0.062038014 -0.4376028602 -0.6485565522 -0.1699864251 -0.689370473
2045 2045 NA NA NA NA NA NA NA NA NA NA NA
2047 2047 0.1036327175 -0.018480205 -1.0876602659 -0.1043295246 -0.348620123 -0.6312284 0.212151432 -0.1124597482 -0.0793152306 -0.1088044067 -0.12369407
2052 2052 0.0547020085 -0.064168635 -0.2126270351 0.2321147491 -0.392139161 -0.6248336 -0.122578855 -0.4069919655 -0.4167742664 -0.231161489 -0.426761649
2054 2054 0.099873129 -0.753253905 -0.0904425346 -0.0006187329 0.153943573 -0.4917378 -0.011908476 0.6042024938 0.3392953669 -0.0919942479 -0.920379117
2062 2062 0.1722503023 -0.511088349 0.1286184406 0.4177271471 -0.047267023 0.0258548 0.29266637 -0.4325688792 -0.4404945777 -0.5145475397 -0.066834418
2067 2067 -0.297303109 0.735901148 0.1931622902 0.3127406756 0.061938787 0.5487425 0.076386093 0.6956031003 0.7135901553 0.1911558514 0.069677816
2072 2072 0.2837763066 -0.089357398 -0.5282371473 0.2842839733 0.334330112 -0.1012248 0.037092665 0.4135600085 0.5584368275 -0.0203223106 0.252773625
2075 2075 -0.2226265675 0.659938177 0.5888927596 -0.1296364649 0.017499122 0.2712903 0.057593963 0.2464271296 0.3399787176 0.1309888743 0.422743502
2078 2078 -0.0186313719 0.194878884 0.3740253156 -0.68452913 0.209890776 0.3443903 0.022159676 0.64742863 0.6941966533 0.2567604314 0.658239591
2086 2086 0.0039432274 0.16024169 -0.3698706881 0.0801806328 -0.069140405 -0.01186824 0.10496364 -0.0714494053 -0.3711200878 0.2033871935 -0.229240831
2087 2087 0.1886401287 -0.103011759 0.1511645373 -0.3745538229 -0.216849216 0.6532557 0.043799264 -0.4079005137 -0.2678348935 0.3139093276 0.599245854
